cliente_id,tpv_medio_mensal,variacao_tpv_3m,dias_sem_transacao,tempo_cliente_meses,num_produtos_ativos,ticket_medio,num_chamados_suporte,nps_ultimo,segmento,regiao,tem_maquininha,plano,usa_app_mobile,churn
L001,42000,-0.05,2,36,3,85.00,1,9,premium,sudeste,sim,avancado,sim,0
L002,8500,-0.45,18,6,1,32.00,5,3,basico,nordeste,sim,basico,nao,1
L003,23000,-0.12,5,24,2,61.00,2,7,standard,sudeste,sim,intermediario,sim,0
L004,65000,0.08,1,48,4,120.00,0,10,premium,sul,sim,avancado,sim,0
L005,7200,-0.52,22,5,1,28.00,6,2,basico,norte,nao,,nao,1
L006,15000,-0.30,12,14,1,45.00,4,4,standard,nordeste,sim,basico,nao,1
L007,38000,0.03,3,30,3,78.00,1,8,premium,sudeste,sim,avancado,sim,0
L008,11000,-0.25,8,10,2,40.00,3,5,basico,centro-oeste,sim,basico,nao,0
L009,78000,0.12,1,60,4,150.00,0,10,premium,sudeste,sim,avancado,sim,0
L010,6800,-0.58,25,4,1,25.00,7,1,basico,nordeste,nao,basico,nao,1
L011,28000,-0.08,4,28,2,68.00,2,7,standard,sul,sim,intermediario,sim,0
L012,18000,-0.18,6,18,2,52.00,3,6,standard,sudeste,sim,intermediario,sim,0
L013,7500,-0.48,20,7,1,30.00,5,3,basico,norte,sim,basico,nao,1
L014,55000,0.05,1,42,3,110.00,1,9,premium,sul,sim,avancado,sim,0
L015,13000,-0.35,14,12,1,42.00,4,4,standard,nordeste,sim,basico,nao,1
L016,35000,0.02,3,34,3,75.00,1,8,premium,sudeste,sim,avancado,sim,0
L017,9000,-0.42,16,8,1,35.00,6,,basico,nordeste,sim,basico,nao,1
L018,21000,-0.10,5,22,2,58.00,2,7,standard,centro-oeste,sim,intermediario,sim,0
L019,70000,0.10,1,54,4,135.00,0,10,premium,sudeste,sim,avancado,sim,0
L020,8000,-0.50,21,5,1,27.00,6,2,basico,norte,nao,basico,nao,1
L021,30000,-0.06,3,32,3,72.00,1,8,standard,sul,sim,intermediario,sim,0
L022,16000,-0.28,10,15,2,48.00,3,5,standard,nordeste,sim,intermediario,nao,0
L023,45000,0.06,2,40,3,92.00,1,9,premium,sudeste,sim,avancado,sim,0
L024,7000,-0.55,24,4,1,26.00,7,2,basico,nordeste,nao,basico,nao,1
L025,25000,-0.09,4,26,2,65.00,2,7,standard,sudeste,sim,intermediario,sim,0
L026,82000,0.15,1,66,4,160.00,0,10,premium,sul,sim,avancado,sim,0
L027,12000,-0.22,7,11,2,43.00,,3,5,basico,centro-oeste,sim,basico,nao,0
L028,6500,-0.60,28,3,1,22.00,8,1,basico,nordeste,nao,basico,nao,1
L029,40000,0.04,2,38,3,80.00,1,9,premium,sudeste,sim,avancado,sim,0
L030,14000,-0.32,13,13,1,44.00,4,4,standard,nordeste,sim,basico,nao,1
